houseNumber,street,town,city,postcode,firstName,lastName,carRegistration,carMake,carModel,carEngineSize
0,Monica,Maswarah,Xujiaqiao,,Joana,Dewitt,3GTU2YEJ3DG534882,Chevrolet,SSR,51.2
10697,Rutledge,Matamey,Hule,,Meryl,Ambrogioli,1G6DV1EP4E0975707,Honda,CR-X,49.7
217,Saint Paul,Sim,Santa Catarina Barahona,456022,Kerstin,Brunel,YV126MFC2F2735389,Volkswagen,New Beetle,67.6
548,Farwell,Shar’ya,Jiujie,157510,Siouxie,Lyness,TRUDD38J081739336,Lincoln,LS,99.8
31,Village,Sananrejo,Huaqiao,,Drew,Adanez,1G4HP52K834745940,Lincoln,Town models.Car,49.8
1,Trailsway,Xiaoshanzi,Tuban,,Sibbie,Kordas,5UXFG2C57DL268569,Nissan,Quest,92.1
00904,Merry,Bantuanon,Legok,6311,Farley,Tindall,1FMJK1G54EE327669,Eagle,Talon,2.7
8550,Eagle Crest,Cam Ranh,Were,,Lorinda,Austwick,WBAYB6C57DD031524,Maserati,Spyder,67.7
6409,Fremont,Xiacaoqiao,Gaomiaoji,,Huntlee,Chasle,4T1BD1EB8EU329649,Toyota,Supra,21.7
27819,Ramsey,Tanagara,Chulabhorn,,Humphrey,Mailes,WBAEN33464E486620,Mercedes-Benz,M-Class,97.9
17350,Morningstar,Hajnówka,Cernache do Bonjardim,17-201,Korrie,Cord,WVGAV3AX9DW769694,Jaguar,XK Series,16.8
1,Paget,Qujing,Mtubatuba,,Roze,Hollibone,5BZBF0AAXFN413554,Chrysler,300,44.3
29439,John Wall,Jiulong,Temblador,,Joline,Makepeace,WAUDG74F19N020971,Honda,Accord,80.5
4,Bluestem,Jiquinlaca,Dubăsari,,Berti,Ettles,WBAYF8C57FD237221,Ford,Taurus,5.0
7583,Waywood,San Carlos de Bolívar,Limón,6550,Riley,Hupka,1G6DP5EV7A0904771,Suzuki,Cultus,5.7
6812,Rieder,Huangshan,Kajaani,,Ly,Davenport,JM3TB2CV9F0447596,Acura,RL,71.0
942,Stuart,Kansas City,Manaloal,64136,Serge,Connah,1C4AJWAG9EL935281,GMC,Yukon,11.0
5,Hollow Ridge,Shouchang,Tanjungbatu,,Henrietta,Seifenmacher,WAUGL98E97A183488,Volkswagen,Jetta,67.9
01842,Blaine,Besançon,Alta Gracia,25086 CEDEX 9,Bev,Vyel,1FTSW3B58AE431463,BMW,X3,1.4
7952,Lakewood Gardens,Kuangshan,Labin,,Thayne,Lomaz,JH4CU2E63BC257633,Chevrolet,Express,65.6
0791,Ramsey,Guilherand-Granges,Orekhovo-Borisovo,07509 CEDEX,Calypso,Hockey,WP0AA2A99FS479588,Subaru,Legacy,87.0
5,Maple Wood,Podhum,Nyrkiv,,Dodie,Bullivent,1FBNE3BLXDD377273,Ford,Explorer,82.4
49,Walton,Hongqi,Ekpoma,,Upton,Errowe,3GYT4LEF1CG261809,GMC,Savana 1500,24.5
057,Maryland,Shanlian,Honglong,,Karolina,Petticrow,WDDGF4HB7CF949160,Volvo,V40,24.1
116,Graedel,Świdnica,Nanhu,66-008,Shani,Ginni,1G6DF5E50C0118302,Mercury,Cougar,43.0
606,Westport,Limoeiro do Norte,Qīr Moāv,62930-000,Oralie,McTurlough,1C4RDHEG6EC706704,Mitsubishi,Mirage,49.1
0346,Starling,Samayac,Qinshi,10009,Van,Danbrook,JN8AF5MR7FT180324,Toyota,Camry,99.1
10,Schlimgen,Ivry-sur-Seine,Jingchuan,94852 CEDEX,Brooks,Ralfe,1G6DJ577980594455,Saab,9000,33.8
6136,Towne,Xiangshui,Cabadiangan,,Patsy,Minghella,KM8JT3AB5DU510478,BMW,7 Series,2.4
2033,Quincy,Sokolo,Ma’an,,Aggie,Chilcott,2T1BURHE6EC699889,Jeep,Grand Cherokee,76.7
49,Prairieview,Piraju,Mangxing,18800-000,Florinda,Beardsworth,WAUKF98E18A772747,Hyundai,Genesis,58.2
42344,Grayhawk,Kasimov,N'Djamena,391360,Darby,Hawkeridge,NM0KS7AN9AT945726,Volkswagen,GTI,78.1
